url,title,author,price
85,/w/terms-and-conditions-lauren-asher/1141063692;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781737507734,Terms and Conditions,Lauren Asher,$17.99
86,/w/ink-blood-sister-scribe-emma-t-rzs/1142334209;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780063253469,Ink Blood Sister Scribe (A Good Morning America Book Club Pick),Emma Törzs,$27.00
87,/w/the-invisible-boy-trudy-ludwig/1114141638;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781582464503,The Invisible Boy,Trudy Ludwig,$16.99
88,/w/recess-queen-alexis-oneill/1004878345;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780439206372,The Recess Queen,Alexis O'neill,$16.99
89,/w/chrysanthemum-kevin-henkes/1141929319;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780062983374,Chrysanthemum: A First Day of School Book for Kids,Kevin Henkes,$8.99
90,/w/do-unto-otters-laurie-keller/1101359166;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780312581404,Do Unto Otters: A Book About Manners,Laurie Keller,$8.99
91,/w/be-kind-pat-zietlow-miller/1129827913;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781626723214,Be Kind,Pat Zietlow Miller,$18.99
92,/w/thunder-cake-patricia-polacco/1100836673;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780698115811,Thunder Cake,Patricia Polacco,$8.99
93,/w/thank-you-mr-falker-patricia-polacco/1101545769;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780399257629,"Thank You, Mr. Falker",Patricia Polacco,$15.99
94,/w/how-full-is-your-bucket-for-kids-tom-rath/1102216761;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781595620279,How Full Is Your Bucket? For Kids,Tom Rath,$15.95
95,/w/polar-bears-laura-marsh/1112710870;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781426311048,Polar Bears (National Geographic Readers Series: Level 1),Laura Marsh,$4.99
96,/w/wilfrid-gordon-mcdonald-partridge-mem-fox/1000263588;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780613511971,Wilfrid Gordon McDonald Partridge,Mem Fox,$19.25
97,/w/big-al-andrew-clements/1100195015;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780689817229,Big Al,Andrew Clements,$8.99
98,/w/surprising-sharks-nicola-davies/1100432191;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780763627423,Surprising Sharks (Read and Wonder Series),Nicola Davies,$8.99
99,/w/the-kindness-quilt-nancy-elizabeth-wallace/1007652773;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780761453130,The Kindness Quilt,Nancy Elizabeth Wallace,$16.99
100,/w/emmas-rug-allen-say/1100295610;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780618335237,Emma's Rug,Allen Say,$7.99
